main_id,ra,dec,plx_value
"""TYC 8410-60-1""",308.37347263657,-47.23850053051,1.7317
"""TYC 8410-1110-1""",308.44811489068,-47.13155906904,0.4734
"""TYC 8406-1397-1""",308.76038113448993,-46.48808002109,2.1013
"""TYC 8406-1500-1""",308.88863919807,-46.59753273668,1.8793
"""UCAC2  11670324""",308.89461223635,-47.301481044,0.8788
"""UCAC2  11670395""",309.16352443463,-47.00646472742,0.2512
"""UCAC2  11670400""",309.1698765606,-47.01635255011001,0.7149
"""UCAC2  11900605""",309.22093230385,-46.54501904476,2.2184
"""TYC 8407-1208-1""",309.5750763809,-46.42947759314,3.0268
"""TYC 8411-582-1""",309.64623888041,-47.179292009159994,2.3427
"""UCAC2  11670619""",309.99196908954,-47.24722343959001,0.7094
"""L  350-65""",308.56352609926626,-47.656296122809444,3.3446
"""GES J20394076-4714301""",309.91987665582,-47.24172185773,1.4477
"""GES J20394336-4711228""",309.93068323603995,-47.18969022578,0.9408
"""GES J20395232-4717250""",309.9680623293,-47.29030670218,1.0381
"""GES J20402296-4716025""",310.09576835853,-47.26734979624,0.8387
"""GES J20403066-4707128""",310.12778029041,-47.120228517240015,1.5623
"""GES J20411190-4712427""",310.29959865091,-47.21187495585,1.023
"""UCAC2  11900896""",310.3093665690299,-46.90876870426,0.163
"""GES J20392317-4713223""",309.84659570035,-47.22288771576,0.6947
"""Gaia DR2 6482363181730150912""",310.47172497035,-46.73938397639,2.7788
"""TYC 8410-810-1""",308.5594142739664,-46.9922820037582,2.9605
"""Gaia DR2 6674386569624140672""",309.26281235173167,-47.2449136615536,1.9821
"""CRTS J203801.8-475955""",309.5076608846029,-47.99874898940139,1.0216
"""Gaia DR3 6674428247986756608""",307.96123682861,-47.37134047672,8.1442
"""CRTS J203531.6-475807""",308.8817511073071,-47.96896755112694,1.1017
"""CRTS J203725.5-481127""",309.35628783168374,-48.19115407766028,0.1213
"""CRTS J203859.2-475601""",309.7468413291308,-47.93372060039415,0.338
"""CRTS J203945.1-471443""",309.9382269922583,-47.24529092040445,0.5821
"""CRTS J203948.4-480310""",309.95186645053747,-48.05299307007667,0.4227
"""CRTS J203951.0-465343""",309.9629783148892,-46.895128099479166,1.0573
"""CRTS J204033.7-480125""",310.1408408651324,-48.023822075329996,0.1937
"""CRTS J204132.1-472401""",310.3844401571129,-47.40023038066611,2.2238
"""CRTS J204135.7-472258""",310.3996198525425,-47.38276061289,0.3103
"""CRTS J204229.7-473159""",310.6248520127724,-47.532899747238886,1.1198
"""Gaia DR3 6482149227934007296""",309.77775163919,-48.07918841661,0.2574
"""Gaia DR3 6482180250481812480""",308.71628585569994,-48.15780428804,1.9167
"""Gaia DR3 6482254776754199552""",310.23588993896,-47.68803563301,1.9069
"""Gaia DR2 6482726467242634496""",310.5587457261299,-46.75749637013,5.4362
"""CD-48 13622""",309.09896469702,-47.77879079242,7.3206
"""UCAC4 211-187341""",310.2435277265259,-47.81435451945528,3.086
"""HD 195388""",308.20184019722,-47.71691561048999,2.9699
"""UCAC4 214-186554""",308.0809232475021,-47.37509201985444,1.8497
"""UCAC4 216-192786""",308.8851859164667,-46.86761199024444,4.2486
"""UCAC4 216-192872""",309.32365752238877,-46.96292432745,3.5537
"""Gaia DR3 6674653196898744704""",308.38790280353,-46.80499017773,3.1861
"""Gaia DR3 6674353511259527552""",308.39868424217,-47.84384278434,2.5262
"""Gaia DR3 6674434668962574848""",308.47277770751,-47.11984544122999,2.0022
"""Gaia DR3 6674366572256332672""",308.50927313607,-47.58027219212,3.689
"""UCAC4 219-182892""",309.1232709092137,-46.321925180938344,1.3629
"""HD 195523""",308.40687278008,-46.56412519945,5.7571
"""Gaia DR3 6674669144112531840""",308.2123970616199,-46.71780908291,0.1401
"""SCR J2041-4633""",310.25595485876585,-46.55405386319361,21.7199
"""TYC 8411-1431-1""",309.6728567,-48.2002603,4.78
"""Gaia DR3 6674582965593720576""",309.5606337982,-46.41255155586,2.318
"""UCAC4 216-192769""",308.80211223348124,-46.82789953590723,0.682
"""UCAC4 213-199098""",309.84820974415624,-47.58957892580167,2.2894
